                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0709,                 3.5274,                 1.3804,                   0.04,                0.21818,                0.02827,                0.01453,                 1.6609,                 3.2977,                 1.1611,                  2e-05,                  2e-05,                  2e-05
                      2,                 2.2457,                 3.5286,                 1.3888,                0.05111,                0.27879,                0.05799,                0.02924,                 1.6649,                  3.243,                 1.1424,             5.9703e-05,             5.9703e-05,             5.9703e-05
                      3,                 1.8214,                 3.3761,                 1.2839,                0.05778,                0.31515,                0.14515,                0.06598,                 1.6923,                 3.2166,                 1.1588,              9.901e-05,              9.901e-05,              9.901e-05
                      4,                  1.909,                 3.2676,                 1.2053,                0.07444,                0.40606,                0.21368,                0.08546,                 1.7452,                 3.1589,                 1.1788,             0.00013792,             0.00013792,             0.00013792
                      5,                 1.7956,                 2.9401,                 1.1553,                0.09222,                0.50303,                0.26707,                0.10558,                 1.7583,                 3.0885,                  1.111,             0.00017644,             0.00017644,             0.00017644
                      6,                 1.8031,                 2.5354,                 1.1061,                0.08778,                0.47879,                0.24494,                0.09876,                 1.7839,                 3.0111,                 1.0906,             0.00021456,             0.00021456,             0.00021456
                      7,                 1.7884,                 2.1393,                 1.1066,                0.08889,                0.48485,                0.23706,                0.09059,                 1.8344,                 2.8972,                 1.1068,             0.00025228,             0.00025228,             0.00025228
                      8,                 1.7799,                 1.7365,                 1.1001,                0.12444,                0.67879,                0.45143,                0.20525,                 1.8276,                 2.6861,                 1.1326,              0.0002896,              0.0002896,              0.0002896
                      9,                 1.7011,                 1.4786,                 1.0686,                0.13444,                0.73333,                0.59544,                0.26706,                  1.874,                 2.5755,                 1.1544,             0.00032654,             0.00032654,             0.00032654
                     10,                 1.7746,                 1.4199,                 1.0858,                0.64257,                 0.5697,                0.63718,                0.28216,                 1.8958,                 2.4399,                 1.1557,             0.00036307,             0.00036307,             0.00036307
                     11,                 1.7734,                 1.3844,                 1.0604,                0.89142,                0.33333,                0.60327,                0.25005,                  1.893,                 2.3309,                  1.165,             0.00039921,             0.00039921,             0.00039921
                     12,                 1.6905,                 1.2641,                 1.0513,                0.81089,                 0.4303,                0.63074,                0.28393,                 1.7791,                 2.1663,                  1.136,             0.00043495,             0.00043495,             0.00043495
                     13,                 1.6517,                  1.223,                 1.0418,                0.73877,                0.47273,                0.64101,                0.31423,                  1.767,                 2.0105,                 1.1312,              0.0004703,              0.0004703,              0.0004703
                     14,                 1.7754,                 1.1904,                 1.0971,                0.82717,                 0.5697,                0.70743,                0.34853,                 1.8268,                 1.8769,                 1.1636,             0.00050525,             0.00050525,             0.00050525
                     15,                 1.7072,                 1.1445,                 1.0866,                0.81488,                0.59394,                0.70458,                  0.367,                 1.7923,                 1.8446,                 1.2039,             0.00053981,             0.00053981,             0.00053981
                     16,                 1.7392,                 1.2113,                 1.1126,                0.84326,                    0.6,                0.71341,                0.39102,                  1.661,                  1.712,                 1.1482,             0.00057397,             0.00057397,             0.00057397
                     17,                 1.6232,                 1.1229,                 1.0705,                0.86102,                0.62424,                0.73366,                0.40039,                 1.6448,                  1.585,                 1.1344,             0.00060773,             0.00060773,             0.00060773
                     18,                 1.6558,                 1.1287,                 1.0911,                0.81258,                0.65693,                0.74005,                0.39508,                 1.6964,                 1.5334,                 1.1469,              0.0006411,              0.0006411,              0.0006411
                     19,                 1.6604,                 1.0659,                   1.04,                0.81329,                0.65999,                0.72852,                 0.3799,                 1.7266,                 1.5322,                 1.1637,             0.00067407,             0.00067407,             0.00067407
                     20,                 1.4883,                 1.0229,                 1.0529,                0.81688,                0.64242,                0.71294,                0.35654,                 1.7696,                 1.5351,                 1.1793,             0.00070664,             0.00070664,             0.00070664
                     21,                 1.5393,                 1.0525,                 1.0633,                0.81204,                0.65459,                0.73385,                0.35573,                 1.7415,                 1.4798,                 1.1666,             0.00073882,             0.00073882,             0.00073882
                     22,                 1.5882,                 1.0126,                 1.0519,                0.79267,                0.68485,                0.74885,                0.38089,                 1.6674,                 1.3465,                 1.1367,              0.0007706,              0.0007706,              0.0007706
                     23,                 1.6421,                 1.0277,                 1.0633,                0.81462,                0.69091,                0.77255,                0.38882,                  1.648,                 1.2721,                 1.1343,             0.00080199,             0.00080199,             0.00080199
                     24,                 1.5775,                 1.0344,                 1.0457,                0.82825,                0.62424,                0.73249,                0.37525,                 1.6298,                 1.2819,                 1.1461,             0.00083298,             0.00083298,             0.00083298
                     25,                 1.4873,                0.96367,                  1.028,                0.77285,                0.65985,                0.72516,                0.37733,                 1.6874,                 1.2666,                  1.163,             0.00086358,             0.00086358,             0.00086358
                     26,                 1.4804,                0.94615,                  1.043,                0.79597,                0.72727,                0.77903,                0.39153,                 1.7005,                 1.2084,                 1.1607,             0.00089377,             0.00089377,             0.00089377
                     27,                 1.5574,                0.99725,                 1.0297,                 0.7799,                0.70909,                0.75939,                0.37899,                 1.7243,                 1.2136,                 1.1585,             0.00092358,             0.00092358,             0.00092358
                     28,                 1.5298,                0.97492,                 1.0189,                 0.7799,                0.70909,                0.75939,                0.37899,                 1.7243,                 1.2136,                 1.1585,             0.00095298,             0.00095298,             0.00095298
                     29,                 1.5066,                0.95794,                 1.0257,                0.82265,                0.73333,                0.79094,                0.39605,                 1.7176,                 1.1911,                 1.1446,               0.000982,               0.000982,               0.000982
                     30,                 1.5409,                0.97814,                 1.0448,                0.77379,                0.71515,                0.77371,                0.40621,                 1.6212,                 1.2041,                 1.1133,              0.0010106,              0.0010106,              0.0010106
                     31,                 1.5148,                0.93166,                 1.0167,                0.77379,                0.71515,                0.77371,                0.40621,                 1.6212,                 1.2041,                 1.1133,              0.0010388,              0.0010388,              0.0010388
                     32,                 1.5201,                0.92285,                 1.0073,                0.77906,                0.69697,                0.76262,                0.39616,                 1.5882,                 1.2256,                 1.1074,              0.0010667,              0.0010667,              0.0010667
                     33,                 1.4757,                0.91129,                0.99934,                0.81431,                0.69104,                0.77836,                0.39172,                 1.6196,                 1.2319,                 1.1068,              0.0010941,              0.0010941,              0.0010941
                     34,                  1.453,                0.93664,                 1.0205,                0.81431,                0.69104,                0.77836,                0.39172,                 1.6196,                 1.2319,                 1.1068,              0.0011211,              0.0011211,              0.0011211
                     35,                 1.4836,                0.89639,                0.99243,                0.82029,                 0.6916,                0.76274,                0.39047,                 1.6542,                 1.2503,                 1.1053,              0.0011477,              0.0011477,              0.0011477
                     36,                  1.543,                0.98312,                 1.0352,                0.73134,                0.65455,                0.73098,                0.37151,                 1.7118,                 1.2874,                 1.1056,               0.001174,               0.001174,               0.001174
                     37,                 1.5225,                0.91083,                  1.002,                0.73134,                0.65455,                0.73098,                0.37151,                 1.7118,                 1.2874,                 1.1056,              0.0011998,              0.0011998,              0.0011998
                     38,                 1.4103,                0.91703,                 1.0293,                0.76014,                0.63382,                0.72885,                0.36038,                 1.6571,                 1.3303,                 1.1009,              0.0012253,              0.0012253,              0.0012253
                     39,                 1.4641,                0.88205,                  1.008,                0.74928,                0.57576,                0.68657,                0.33388,                 1.7263,                 1.4007,                 1.1412,              0.0012503,              0.0012503,              0.0012503
                     40,                 1.4415,                0.93773,                 1.0497,                0.74928,                0.57576,                0.68657,                0.33388,                 1.7263,                 1.4007,                 1.1412,               0.001275,               0.001275,               0.001275
                     41,                 1.4336,                0.88743,                 1.0151,                 0.7431,                0.56101,                0.69629,                0.35042,                 1.7669,                 1.3908,                 1.1446,              0.0012992,              0.0012992,              0.0012992
                     42,                 1.4825,                0.85988,                 1.0104,                0.74672,                0.62539,                 0.7273,                0.34745,                 1.8462,                 1.3676,                 1.1499,              0.0013231,              0.0013231,              0.0013231
                     43,                 1.4442,                 0.8801,                 1.0041,                0.74672,                0.62539,                 0.7273,                0.34745,                 1.8462,                 1.3676,                 1.1499,              0.0013466,              0.0013466,              0.0013466
                     44,                 1.4623,                0.87672,                 1.0163,                0.73164,                0.66667,                0.74291,                0.38844,                 1.7299,                 1.2782,                 1.1242,              0.0013696,              0.0013696,              0.0013696
