                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0742,                 2.4716,                 2.1637,                0.41325,                 0.4364,                0.36575,                0.17383,                 1.9146,                  1.864,                 1.9803,             0.00065823,             0.00065823,             0.00065823
                      2,                 1.5927,                 1.7488,                 1.7009,                 0.5485,                 0.4664,                0.49077,                0.24657,                 1.7594,                 1.7728,                  1.865,              0.0013118,              0.0013118,              0.0013118
                      3,                 1.5643,                 1.6649,                 1.6686,                0.60952,                0.45699,                0.53921,                0.27863,                 1.7358,                 1.7515,                 1.8212,              0.0019521,              0.0019521,              0.0019521
                      4,                  1.508,                 1.6007,                 1.6147,                0.70612,                0.51882,                0.58265,                0.32707,                  1.607,                 1.6906,                 1.6709,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.4775,                 1.5663,                 1.5799,                 0.6623,                0.56675,                0.63632,                0.35902,                 1.4912,                 1.4225,                 1.5839,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.4657,                 1.5333,                 1.5513,                 0.7234,                0.60461,                 0.7052,                0.39275,                 1.4926,                 1.3636,                 1.5827,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.4366,                 1.4939,                 1.5461,                0.64953,                0.59946,                0.66457,                0.34665,                 1.6281,                 1.4313,                 1.6382,               0.001901,               0.001901,               0.001901
                      8,                   1.42,                 1.5104,                  1.553,                  0.697,                0.62097,                0.70202,                0.40272,                 1.4361,                 1.3193,                 1.5173,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.3676,                 1.4481,                 1.5096,                0.73865,                0.64113,                0.72587,                0.42843,                 1.4271,                 1.3149,                 1.5165,              0.0018614,              0.0018614,              0.0018614
                     10,                  1.386,                 1.4177,                 1.5146,                0.68287,                  0.625,                0.68583,                0.39828,                 1.4587,                 1.3946,                 1.5181,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.3567,                 1.3715,                 1.4954,                0.76317,                0.66263,                0.75703,                0.44194,                 1.3904,                 1.2162,                 1.4592,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.3235,                 1.3437,                 1.4632,                0.67405,                0.49866,                0.56556,                0.32463,                 1.5535,                 1.7451,                 1.6791,               0.001802,               0.001802,               0.001802
                     13,                 1.3174,                 1.3596,                 1.4772,                0.73299,                0.68629,                 0.7567,                0.44456,                 1.3714,                 1.2326,                 1.4511,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.3139,                 1.3246,                 1.4515,                 0.7753,                0.66935,                0.76415,                0.46883,                 1.3267,                 1.1884,                 1.4214,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.3128,                 1.3111,                 1.4725,                0.75334,                0.65188,                0.73064,                0.43463,                 1.3719,                 1.2876,                 1.4799,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.2859,                 1.2844,                 1.4478,                0.77366,                0.72581,                0.80682,                0.50339,                 1.2564,                 1.1054,                 1.3554,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.2589,                 1.2371,                 1.4165,                0.78462,                0.67082,                0.77299,                 0.4884,                 1.2549,                 1.2394,                  1.372,               0.001703,               0.001703,               0.001703
                     18,                 1.2661,                 1.2511,                 1.4166,                0.77693,                0.73028,                0.81296,                0.52752,                 1.2209,                 1.0601,                 1.3137,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.2544,                 1.2171,                 1.4082,                0.77181,                 0.6683,                0.76233,                0.49377,                  1.258,                 1.1786,                 1.3591,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.2463,                 1.2095,                 1.4148,                  0.814,                0.74194,                0.82977,                0.53925,                 1.2104,                 1.0214,                 1.3243,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.2074,                 1.1721,                 1.3899,                0.76108,                0.75269,                 0.8139,                0.51998,                 1.2129,                 1.0703,                 1.3122,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.2129,                 1.1627,                 1.3816,                0.77111,                0.70699,                0.80346,                0.51516,                 1.2697,                 1.0555,                  1.374,               0.001604,               0.001604,               0.001604
                     23,                 1.2038,                 1.1517,                 1.3764,                0.74168,                0.71774,                 0.7934,                0.50941,                 1.2575,                 1.0943,                 1.3564,              0.0015842,              0.0015842,              0.0015842
                     24,                  1.194,                 1.1282,                 1.3636,                0.78214,                0.76075,                0.83231,                0.54294,                 1.1947,                0.97677,                 1.3149,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.2068,                 1.1491,                 1.3876,                0.81127,                0.66263,                0.78129,                0.49428,                  1.277,                 1.0477,                 1.3788,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.1841,                 1.1147,                 1.3531,                0.80444,                0.70699,                0.82098,                0.52791,                 1.2373,                0.99742,                 1.3404,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.1793,                 1.1059,                 1.3688,                0.80004,                0.75134,                0.82299,                0.53339,                 1.2188,                  1.008,                 1.3157,               0.001505,               0.001505,               0.001505
                     28,                 1.1588,                 1.1054,                 1.3709,                0.82448,                0.76344,                  0.845,                0.55015,                 1.2086,                0.99387,                 1.3403,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.1671,                  1.117,                 1.3635,                0.79579,                0.80136,                0.85772,                 0.5534,                 1.2129,                0.91807,                 1.3413,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.1703,                 1.0857,                 1.3527,                 0.8434,                0.75941,                0.84752,                0.54803,                 1.1959,                0.99047,                 1.3023,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.1592,                 1.1025,                 1.3429,                0.84308,                0.72581,                0.84191,                0.55694,                 1.1929,                0.96381,                 1.3192,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.1382,                 1.0589,                 1.3288,                0.81204,                 0.7379,                0.82716,                0.54492,                  1.199,                0.96778,                  1.297,               0.001406,               0.001406,               0.001406
                     33,                 1.1426,                 1.0569,                 1.3439,                0.83032,                0.76613,                0.84864,                0.56301,                 1.1779,                0.91694,                 1.2926,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.1306,                  1.056,                 1.3377,                0.83385,                  0.769,                 0.8604,                0.56998,                 1.1631,                0.91744,                 1.2734,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.1288,                 1.0382,                 1.3161,                0.82121,                0.76882,                0.84873,                0.56294,                 1.1832,                0.99229,                 1.2907,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.1462,                 1.0264,                 1.3315,                0.83059,                0.74466,                0.84786,                 0.5612,                 1.1806,                0.90993,                 1.2798,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.1348,                 1.0465,                 1.3201,                0.85543,                0.73253,                 0.8439,                0.55234,                 1.1851,                0.93935,                    1.3,               0.001307,               0.001307,               0.001307
                     38,                  1.127,                  1.011,                 1.3234,                0.84784,                0.80242,                 0.8794,                0.58199,                 1.1673,                0.88285,                 1.2865,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.1059,                0.99868,                   1.31,                0.84924,                0.77985,                0.86572,                0.58424,                 1.1175,                0.87588,                 1.2297,              0.0012674,              0.0012674,              0.0012674
