                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.93625,                0.85404,                 1.0829,                0.86074,                0.77998,                0.86208,                0.68493,                0.83154,                0.62762,                0.97641,             8.2479e-05,             8.2479e-05,             8.2479e-05
                     34,                0.95322,                0.87061,                 1.1007,                0.87823,                0.77412,                0.86153,                0.68269,                0.83109,                0.62341,                0.97678,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     35,                0.93457,                0.80566,                 1.0783,                0.87108,                0.77823,                0.86256,                0.69138,                 0.8272,                0.62307,                0.97452,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     36,                0.95047,                0.84114,                 1.0704,                0.88008,                0.78501,                  0.865,                0.69326,                0.82451,                0.62438,                0.97215,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     37,                0.91419,                 0.7965,                 1.0407,                0.88075,                0.78682,                0.86767,                0.69778,                0.82219,                 0.6203,                0.97132,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     38,                0.89884,                0.80769,                 1.0776,                0.85632,                0.80608,                0.86918,                 0.6954,                0.82049,                0.61808,                0.97036,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     39,                0.93908,                0.81081,                 1.0996,                0.87429,                0.79345,                0.86864,                 0.6957,                0.82067,                0.61448,                0.96894,              7.541e-05,              7.541e-05,              7.541e-05
                     40,                0.92033,                0.80162,                 1.0775,                0.88317,                0.79225,                0.87004,                0.70002,                0.81743,                0.61027,                0.96777,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     41,                0.90833,                0.80199,                 1.0652,                0.87366,                 0.8022,                0.87217,                0.70464,                0.80996,                0.60485,                0.96335,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     42,                0.95072,                0.80643,                 1.0741,                0.86095,                  0.811,                0.87169,                0.70428,                 0.8024,                0.59842,                0.96048,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     43,                0.93198,                0.80799,                 1.0867,                0.85994,                0.80717,                0.87187,                0.70541,                0.79704,                0.59382,                0.95713,             7.0698e-05,             7.0698e-05,             7.0698e-05
                     44,                0.90223,                0.76324,                 1.0687,                0.86194,                0.80894,                0.87326,                 0.7117,                0.78977,                0.59159,                0.95327,              6.952e-05,              6.952e-05,              6.952e-05
                     45,                0.86624,                0.80383,                 1.0611,                0.86983,                 0.8081,                0.87262,                0.71491,                0.78695,                0.59057,                0.95223,             6.8342e-05,             6.8342e-05,             6.8342e-05
                     46,                0.88804,                0.76663,                 1.0588,                0.84667,                0.82226,                0.87465,                0.71183,                0.78335,                0.58693,                0.95112,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     47,                0.87797,                0.76377,                 1.0568,                0.87718,                0.79379,                0.87218,                 0.7025,                0.78254,                0.58205,                0.95039,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     48,                0.86126,                0.75813,                 1.0554,                0.87326,                0.79046,                0.87351,                0.70972,                0.78117,                0.57713,                0.94962,             6.4807e-05,             6.4807e-05,             6.4807e-05
                     49,                 0.9283,                 0.7961,                 1.0714,                0.84109,                 0.8165,                0.87357,                0.71074,                0.78022,                0.57611,                0.94814,             6.3629e-05,             6.3629e-05,             6.3629e-05
                     50,                0.84465,                0.75711,                 1.0321,                0.86761,                0.80995,                0.87333,                0.70867,                0.78019,                0.57745,                0.94642,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     51,                0.90404,                0.77833,                 1.0489,                0.86239,                0.81604,                0.87281,                0.71091,                0.77934,                0.57754,                0.94497,             6.1273e-05,             6.1273e-05,             6.1273e-05
                     52,                  0.858,                0.71363,                 1.0379,                0.85673,                0.81676,                0.87453,                0.71261,                0.77592,                0.57697,                0.94441,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     53,                0.88777,                0.75638,                  1.041,                0.87457,                0.80177,                0.87452,                0.71335,                0.77128,                0.57544,                0.94316,             5.8917e-05,             5.8917e-05,             5.8917e-05
                     54,                0.89057,                0.76492,                  1.038,                0.89738,                0.79312,                0.87356,                0.70894,                0.76761,                0.57277,                0.94196,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     55,                0.85819,                0.75197,                 1.0419,                0.89892,                0.79435,                0.87676,                0.71148,                 0.7631,                0.56754,                0.94101,             5.6561e-05,             5.6561e-05,             5.6561e-05
                     56,                 0.8952,                0.76043,                 1.0573,                0.89317,                0.79831,                0.87573,                0.71063,                0.75731,                0.56255,                0.93858,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     57,                0.85737,                0.75557,                 1.0424,                 0.9021,                 0.7926,                0.87781,                0.71361,                 0.7554,                0.55712,                0.93812,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     58,                0.87465,                 0.7342,                 1.0463,                 0.8743,                0.81118,                0.87779,                0.71842,                0.75337,                 0.5539,                0.93741,             5.3026e-05,             5.3026e-05,             5.3026e-05
                     59,                0.85348,                0.71966,                   1.04,                0.87974,                 0.8074,                0.87895,                0.72063,                0.75051,                0.55193,                0.93666,             5.1848e-05,             5.1848e-05,             5.1848e-05
                     60,                0.86822,                0.73751,                 1.0486,                0.87889,                0.82296,                0.88362,                0.72588,                0.74954,                0.55052,                0.93677,              5.067e-05,              5.067e-05,              5.067e-05
                     61,                0.86004,                0.74102,                 1.0639,                0.88365,                0.82245,                0.88427,                0.72539,                0.74706,                0.54901,                0.93649,             4.9492e-05,             4.9492e-05,             4.9492e-05
                     62,                0.85043,                0.73401,                 1.0356,                0.88125,                0.81994,                0.88361,                0.72905,                0.74363,                0.54746,                0.93561,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     63,                0.89404,                0.73983,                 1.0462,                0.88823,                0.82016,                0.88459,                0.72767,                0.74248,                0.54766,                 0.9355,             4.7136e-05,             4.7136e-05,             4.7136e-05
                     64,                0.84417,                0.72172,                 1.0359,                0.88697,                0.82379,                0.88426,                0.72755,                0.74227,                0.54822,                0.93539,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     65,                0.84383,                0.72237,                  1.041,                0.88535,                 0.8263,                0.88523,                0.72994,                 0.7416,                0.54862,                0.93477,              4.478e-05,              4.478e-05,              4.478e-05
                     66,                 0.8297,                0.70118,                 1.0255,                0.89087,                0.82572,                0.88472,                0.72997,                0.73967,                0.54653,                0.93306,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     67,                0.82722,                0.70507,                 1.0188,                0.89522,                0.82296,                0.88589,                0.72976,                0.73701,                0.54327,                0.93133,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     68,                0.81618,                0.68594,                 1.0319,                0.90066,                0.81789,                0.88704,                0.73366,                0.73663,                0.54258,                0.92997,             4.1245e-05,             4.1245e-05,             4.1245e-05
                     69,                0.80797,                0.69317,                 1.0314,                0.90667,                0.81536,                0.88701,                 0.7352,                0.73637,                0.54081,                0.92937,             4.0067e-05,             4.0067e-05,             4.0067e-05
                     70,                0.81228,                0.68657,                 1.0312,                0.91103,                0.81285,                0.88771,                0.73408,                0.73463,                0.53785,                0.92813,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     71,                 0.8144,                0.67617,                 1.0232,                0.90202,                0.81716,                0.88823,                0.73793,                 0.7312,                0.53239,                0.92643,             3.7711e-05,             3.7711e-05,             3.7711e-05
                     72,                0.82406,                0.69986,                 1.0291,                0.89928,                0.82042,                0.88879,                0.74027,                0.72996,                0.53132,                0.92577,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     73,                0.81349,                0.70041,                 1.0483,                0.89667,                0.81883,                0.88926,                0.74026,                0.73052,                0.53174,                0.92545,             3.5355e-05,             3.5355e-05,             3.5355e-05
                     74,                0.82826,                0.67334,                 1.0276,                0.88897,                0.82215,                0.88729,                0.73604,                0.72939,                0.53034,                 0.9249,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     75,                0.84377,                0.70941,                 1.0365,                0.89637,                0.82011,                0.88725,                0.73711,                 0.7269,                0.52884,                0.92436,             3.2999e-05,             3.2999e-05,             3.2999e-05
                     76,                0.82158,                0.72213,                 1.0624,                0.91608,                0.81282,                0.88827,                 0.7398,                0.72339,                0.52884,                0.92285,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     77,                0.84174,                0.69634,                 1.0365,                0.91995,                0.81013,                0.88896,                0.74165,                0.72109,                0.52737,                0.92182,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     78,                0.80408,                0.67794,                 1.0152,                0.92035,                0.81211,                0.88842,                0.74135,                0.71831,                0.52721,                0.92043,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     79,                0.83649,                0.70593,                 1.0317,                0.92587,                 0.8106,                0.88806,                0.74176,                0.71703,                0.52524,                0.91975,             2.8286e-05,             2.8286e-05,             2.8286e-05
                     80,                0.81241,                 0.6575,                 1.0144,                0.92949,                0.81077,                0.88794,                 0.7452,                0.71651,                0.52453,                0.91976,             2.7108e-05,             2.7108e-05,             2.7108e-05
